Icon Name,Old Icon Name,Total Occurrences,Unique Files,Import Count
Usb,usbIcon,32,10,0
UserShield,UserShieldIcon,32,10,0
ColumnSplit,ColumnSplitIcon,30,10,1
SidebarClosed,SidebarClosedIcon,30,10,0
SidebarOpen,SidebarOpenIcon,30,10,0
GenieCode,GenieCodeIcon,24,10,1
Apps,appsIcon,21,7,8
ChartBar,chartBarIcon,13,6,4
WarningFilled,warningFilledIcon,12,5,4
Cluster,clusterIcon,9,2,3
IfElse,IfElseIcon,8,3,2
TextColor,textColorIcon,8,1,0
ArrowDownRight,ArrowDownRightIcon,4,1,0
Blockquote,BlockquoteIcon,4,1,0
BookmarkFilled,bookmarkFilledIcon,4,1,0
BookmarkOutlined,bookmarkOutlinedIcon,4,1,0
Brackets,bracketsIcon,4,1,0
BriefcaseFilled,briefcaseFilledIcon,4,1,0
BriefcaseOutlined,briefcaseOutlinedIcon,4,1,0
CheckCircleFilled,checkCircleFilledIcon,4,1,0
CircleOffline,circleOfflineIcon,4,1,0
DatabaseOutlined,databaseOutlinedIcon,4,1,0
DataMarketplace,dataMarketplaceIcon,4,1,0
Discover,DiscoverIcon,4,1,0
ExecutionHistory,ExecutionHistoryIcon,4,1,0
FolderBranchFilled,FolderBranchFilledIcon,4,1,0
FolderFilled,folderFilledIcon,4,1,0
FolderOutlined,folderOutlinedIcon,4,1,0
GearFilled,gearFilledIcon,4,1,0
GearOutlined,gearOutlinedIcon,4,1,0
InfoFilled,infoFilledIcon,4,1,0
LinkRemove,linkRemoveIcon,4,1,0
LockFilled,lockFilledIcon,4,1,0
LockOutlined,lockOutlinedIcon,4,1,0
MinusBox,minusBoxIcon,4,1,0
MinusCircleFilled,minusCircleFilledIcon,4,1,0
MinusCircleOutlined,minusCircleOutlinedIcon,4,1,0
PinFilled,pinFilledIcon,4,1,0
PinOff,pinOffIcon,4,1,0
PinOutlined,pinOutlinedIcon,4,1,0
PlayCircleFilled,playCircleFilledIcon,4,1,0
PlayCircleOutlined,playCircleOutlinedIcon,4,1,0
PlusCircleFilled,plusCircleFilledIcon,4,1,0
PlusCircleOutlined,plusCircleOutlinedIcon,4,1,0
QueryListView,queryListViewIcon,4,1,0
QuestionMarkFilled,questionMarkFilledIcon,4,1,0
QuestionMarkOutlined,questionMarkOutlinedIcon,4,1,0
StopCircleOutlined,stopCircleOutlinedIcon,4,1,0
TemporaryTable,TemporaryTableIcon,4,1,0
TriangleSolid,TriangleSolidIcon,4,1,0
UserKey,UserKeyIcon,4,1,0
UserOutline,userOutlineIcon,4,1,0
WarningOutlined,warningOutlinedIcon,4,1,0
XCircleFilled,xCircleFilledIcon,4,1,0
XCircleOutlined,xCircleOutlinedIcon,4,1,0
ZoomMarqueeSelection,ZoomMarqueeSelection,4,1,0
AnonymizedData,iconAnonymizedData,0,0,0
DAG,DAGIcon,0,0,0
DAGHorizontal,DAGHorizontalIcon,0,0,0
DAGVertical,DAGVerticalIcon,0,0,0
ERD,ERDIcon,0,0,0
H1,h1Icon,0,0,0
H2,h2Icon,0,0,0
H3,h3Icon,0,0,0
H4,H4Icon,0,0,0
H5,H5Icon,0,0,0
H6,H6Icon,0,0,0
MCP,MCPIcon,0,0,0
SFTP,SFTPIcon,0,0,0
StopCircleFilled,stopCricleFilledIcon,0,0,0
